,bitcoinprice,goldprice,market,riskfreerate
2016-01-01,435.66,395.0,,0.26
2016-01-02,435.4,395.0,,0.26
2016-01-03,431.91,395.0,,0.26
2016-01-04,433.85,395.0,2012.66,0.26
2016-01-05,433.34,395.0,2016.71,0.26
2016-01-06,430.87,395.0,1990.26,0.26
2016-01-07,459.07,395.0,1943.09,0.26
2016-01-08,454.44,395.0,1922.03,0.26
2016-01-09,450.38,395.0,1922.03,0.26
2016-01-10,449.99,395.0,1922.03,0.26
2016-01-11,449.19,395.0,1923.67,0.26
2016-01-12,434.01,395.0,1938.68,0.26
2016-01-13,432.77,395.0,1890.28,0.26
2016-01-14,430.03,395.0,1921.84,0.26
2016-01-15,357.53,395.0,1880.33,0.26
2016-01-16,388.7,395.0,1880.33,0.26
2016-01-17,378.46,395.0,1880.33,0.26
2016-01-18,384.89,395.0,1880.33,0.26
2016-01-19,375.27,395.0,1881.33,0.26
2016-01-20,418.54,395.0,1859.33,0.26
2016-01-21,409.38,395.0,1868.99,0.26
2016-01-22,382.9,395.0,1906.9,0.26
2016-01-23,387.5,395.0,1906.9,0.26
2016-01-24,403.05,395.0,1906.9,0.26
2016-01-25,391.4,395.0,1877.08,0.26
2016-01-26,391.54,395.0,1903.63,0.26
2016-01-27,394.79,395.0,1882.95,0.26
2016-01-28,379.61,395.0,1893.36,0.26
2016-01-29,378.68,395.0,1940.24,0.26
2016-01-30,378.46,395.0,1940.24,0.26
2016-01-31,367.95,395.0,1940.24,0.26
2016-02-01,371.33,412.4,1939.38,0.31
2016-02-02,372.93,412.4,1903.03,0.31
2016-02-03,368.87,412.4,1912.53,0.31
2016-02-04,387.99,412.4,1915.45,0.31
2016-02-05,384.5,412.4,1880.05,0.31
2016-02-06,375.44,412.4,1880.05,0.31
2016-02-07,377.49,412.4,1880.05,0.31
2016-02-08,371.14,412.4,1853.44,0.31
2016-02-09,372.68,412.4,1852.21,0.31
2016-02-10,378.44,412.4,1851.86,0.31
2016-02-11,378.23,412.4,1829.08,0.31
2016-02-12,382.05,412.4,1864.78,0.31
2016-02-13,391.0,412.4,1864.78,0.31
2016-02-14,406.59,412.4,1864.78,0.31
2016-02-15,398.95,412.4,1864.78,0.31
2016-02-16,407.42,412.4,1895.58,0.31
2016-02-17,415.2,412.4,1926.82,0.31
2016-02-18,421.19,412.4,1917.83,0.31
2016-02-19,420.72,412.4,1917.78,0.31
2016-02-20,437.46,412.4,1917.78,0.31
2016-02-21,438.56,412.4,1917.78,0.31
2016-02-22,437.55,412.4,1945.5,0.31
2016-02-23,419.97,412.4,1921.27,0.31
2016-02-24,423.94,412.4,1929.8,0.31
2016-02-25,423.54,412.4,1951.7,0.31
2016-02-26,430.85,412.4,1948.05,0.31
2016-02-27,433.12,412.4,1948.05,0.31
2016-02-28,433.73,412.4,1948.05,0.31
2016-02-29,436.44,412.4,1932.23,0.31
2016-03-01,433.08,451.2,1978.35,0.29
2016-03-02,420.39,451.2,1986.45,0.29
2016-03-03,418.8,451.2,1993.4,0.29
2016-03-04,407.35,451.2,1999.99,0.29
2016-03-05,396.08,451.2,1999.99,0.29
2016-03-06,403.24,451.2,1999.99,0.29
2016-03-07,412.21,451.2,2001.76,0.29
2016-03-08,411.18,451.2,1979.26,0.29
2016-03-09,412.8,451.2,1989.26,0.29
2016-03-10,415.98,451.2,1989.57,0.29
2016-03-11,419.39,451.2,2022.19,0.29
2016-03-12,410.58,451.2,2022.19,0.29
2016-03-13,412.52,451.2,2022.19,0.29
2016-03-14,415.02,451.2,2019.64,0.29
2016-03-15,415.41,451.2,2015.93,0.29
2016-03-16,416.07,451.2,2027.22,0.29
2016-03-17,418.41,451.2,2040.59,0.29
2016-03-18,409.65,451.2,2049.58,0.29
2016-03-19,410.2,451.2,2049.58,0.29
2016-03-20,411.27,451.2,2049.58,0.29
2016-03-21,412.0,451.2,2051.6,0.29
2016-03-22,416.66,451.2,2049.8,0.29
2016-03-23,417.53,451.2,2036.71,0.29
2016-03-24,412.95,451.2,2035.94,0.29
2016-03-25,416.41,451.2,2035.94,0.29
